Number 	Class 	Size 	NVar 	Length 	Unusualness 	Gain	Sensitivity 	SupportP 	SupporN 	SupportDif 	FConfidence 	GrowthRate 	TEFisher 	Hellinger 	TPr 	FPr 
000   	000	-	2,000000	0,066667	0,503272	0,007918	0,006690	0,006690	0,000147	0,006543	0,937500	45,515167	0,000000	1,346370	0,006690	0,000147
001   	000	-	5,000000	0,111111	0,501419	0,003755	0,004014	0,004014	0,001176	0,002838	0,529412	3,413638	0,019467	1,343501	0,004014	0,001176
002   	000	-	3,000000	0,066667	0,503272	0,007918	0,006690	0,006690	0,000147	0,006543	0,937500	45,515167	0,000000	1,346370	0,006690	0,000147
003   	000	-	1,000000	0,000465	0,504837	0,583817	0,958519	0,958519	0,948846	0,009673	0,249768	1,010195	0,070251	1,077301	0,958519	0,948846
004   	000	-	3,000000	0,000617	0,722968	0,633962	0,723461	0,723461	0,277525	0,445937	0,462108	2,606836	0,000000	0,458118	0,723461	0,277525
005   	000	-	5,000000	0,001295	0,651956	0,371612	0,344335	0,344335	0,040423	0,303912	0,737345	8,518232	0,000000	0,809813	0,344335	0,040423
006   	000	-	2,000000	0,000912	0,668946	0,452102	0,489295	0,489295	0,151404	0,337891	0,515750	3,231724	0,000000	0,532302	0,489295	0,151404
007   	000	-	4,000000	0,002786	0,565437	0,163328	0,160125	0,160125	0,029252	0,130873	0,643369	5,474018	0,000000	0,964123	0,160125	0,029252
008   	000	-	1,000000	0,000480	0,542305	0,591982	0,929973	0,929973	0,845362	0,084611	0,266080	1,100088	0,000000	0,875499	0,929973	0,845362
009   	000	-	2,000000	0,001036	0,666702	0,424058	0,430419	0,430419	0,097016	0,333403	0,593846	4,436579	0,000000	0,646352	0,430419	0,097016
010   	000	-	2,000000	0,004831	0,533890	0,088141	0,092328	0,092328	0,024548	0,067780	0,553476	3,761133	0,000000	1,054294	0,092328	0,024548
011   	000	-	2,000000	0,000566	0,743399	0,691242	0,788136	0,788136	0,301338	0,486798	0,462929	2,615457	0,000000	0,514843	0,788136	0,301338
012   	000	-	1,000000	0,000527	0,752765	0,731594	0,845674	0,845674	0,340144	0,505529	0,450356	2,486222	0,000000	0,574423	0,845674	0,340144
013   	000	-	1,000000	0,000470	0,545131	0,605292	0,948707	0,948707	0,858445	0,090262	0,266976	1,105146	0,000000	0,928236	0,948707	0,858445
014   	000	-	4,000000	0,006329	0,524653	0,065554	0,070473	0,070473	0,021167	0,049306	0,523179	3,329350	0,000000	1,095551	0,070473	0,021167
015   	000	-	4,000000	0,076923	0,500694	0,004013	0,005798	0,005798	0,004410	0,001389	0,302326	1,314883	0,381516	1,309820	0,005798	0,004410
016   	000	-	4,000000	0,010309	0,519942	0,048419	0,043265	0,043265	0,003381	0,039884	0,808333	12,797017	0,000000	1,215319	0,043265	0,003381
017   	000	-	2,000000	0,000500	0,543046	0,569581	0,892061	0,892061	0,805968	0,086093	0,267272	1,106819	0,000000	0,767128	0,892061	0,805968
018   	000	-	2,000000	0,000936	0,663140	0,438337	0,476360	0,476360	0,150081	0,326280	0,511249	3,174025	0,000000	0,535553	0,476360	0,150081
019   	000	-	2,000000	0,008065	0,524787	0,060439	0,055308	0,055308	0,005733	0,049575	0,760736	9,647659	0,000000	1,179765	0,055308	0,005733
020   	000	-	3,000000	0,000967	0,659232	0,426122	0,461195	0,461195	0,142731	0,318464	0,515711	3,231217	0,000000	0,550835	0,461195	0,142731
021   	000	-	3,000000	0,000991	0,659096	0,420933	0,450045	0,450045	0,131854	0,318191	0,529381	3,413214	0,000000	0,573010	0,450045	0,131854
022   	000	-	2,000000	0,000506	0,578482	0,588680	0,880910	0,880910	0,723945	0,156965	0,286232	1,216818	0,000000	0,676848	0,880910	0,723945
023   	001	-	4,000000	0,200000	0,500144	0,000124	0,000735	0,000735	0,000446	0,000289	0,833333	1,647802	1,000000	1,379699	0,000735	0,000446
024   	001	-	1,000000	0,000147	0,512565	0,126385	0,999706	0,999706	0,974576	0,025130	0,756844	1,025785	0,000000	1,284872	0,999706	0,974576
025   	001	-	2,000000	0,000277	0,663923	0,104021	0,531236	0,531236	0,203390	0,327846	0,887961	2,611912	0,000000	0,443749	0,531236	0,203390
026   	001	-	3,000000	0,000193	0,662912	0,131077	0,759812	0,759812	0,433987	0,325824	0,841583	1,750769	0,000000	0,392885	0,759812	0,433987
027   	001	-	1,000000	0,000188	0,652459	0,131119	0,780832	0,780832	0,475914	0,304918	0,832732	1,640699	0,000000	0,416888	0,780832	0,475914
028   	001	-	2,000000	0,000151	0,547661	0,130659	0,972218	0,972218	0,876896	0,095323	0,770862	1,108705	0,000000	1,007071	0,972218	0,876896
029   	001	-	4,000000	0,001953	0,537630	0,018621	0,075261	0,075261	0,000000	0,075261	1,000000	INFINITY	0,000000	1,213415	0,075261	0,000000
030   	001	-	4,000000	0,000512	0,636330	0,068965	0,286932	0,286932	0,014273	0,272659	0,983871	20,103189	0,000000	0,926344	0,286932	0,014273
031   	001	-	3,000000	0,000789	0,588511	0,044786	0,186388	0,186388	0,009367	0,177022	0,983708	19,899176	0,000000	1,014153	0,186388	0,009367
032   	001	-	2,000000	0,000772	0,590495	0,045768	0,190357	0,190357	0,009367	0,180991	0,984043	20,322897	0,000000	1,011029	0,190357	0,009367
033   	001	-	3,000000	0,000343	0,667261	0,093046	0,428634	0,428634	0,094112	0,334522	0,932523	4,554495	0,000000	0,652892	0,428634	0,094112
034   	001	-	3,000000	0,000284	0,666229	0,103060	0,518007	0,518007	0,185549	0,332458	0,894416	2,791758	0,000000	0,472403	0,518007	0,185549
035   	001	-	3,000000	0,000397	0,656223	0,083509	0,369984	0,369984	0,057538	0,312446	0,951247	6,430262	0,000000	0,754099	0,369984	0,057538
036   	001	-	3,000000	0,008547	0,508599	0,004255	0,017198	0,017198	0,000000	0,017198	1,000000	INFINITY	0,000000	1,319083	0,017198	0,000000
037   	001	-	3,000000	0,000448	0,650887	0,077457	0,328091	0,328091	0,026316	0,301775	0,974247	12,467441	0,000000	0,860708	0,328091	0,026316
038   	001	-	2,000000	0,000439	0,653077	0,078829	0,335146	0,335146	0,028992	0,306154	0,972281	11,559968	0,000000	0,848734	0,335146	0,028992
039   	001	-	1,000000	0,000151	0,535096	0,127932	0,972512	0,972512	0,902319	0,070193	0,765829	1,077791	0,000000	1,038862	0,972512	0,902319
040   	001	-	2,000000	0,000373	0,667382	0,089266	0,394532	0,394532	0,059768	0,334764	0,952449	6,601047	0,000000	0,740532	0,394532	0,059768
041   	001	-	2,000000	0,000193	0,660905	0,130594	0,759812	0,759812	0,438002	0,321810	0,840351	1,734723	0,000000	0,391564	0,759812	0,438002
042   	001	-	2,000000	0,000188	0,654466	0,131597	0,780832	0,780832	0,471900	0,308932	0,833909	1,654655	0,000000	0,417391	0,780832	0,471900
043   	001	-	4,000000	0,000351	0,664939	0,091298	0,418639	0,418639	0,088760	0,329879	0,934690	4,716524	0,000000	0,666734	0,418639	0,088760
044   	001	-	2,000000	0,000364	0,671123	0,091261	0,403351	0,403351	0,061106	0,342245	0,952447	6,600832	0,000000	0,734717	0,403351	0,061106
045   	001	-	3,000000	0,000439	0,653523	0,078953	0,335146	0,335146	0,028100	0,307046	0,973111	11,926950	0,000000	0,851704	0,335146	0,028100
046   	001	-	1,000000	0,000364	0,669115	0,090715	0,403351	0,403351	0,065120	0,338231	0,949481	6,193931	0,000000	0,724833	0,403351	0,065120
---	---	47	2,553191	0,012379	0,605337	0,213874	0,453457	---	---	0,210674	0,721548	1,000000	0,957447	0,849782	0,453457	0,242784
