Number 	Class 	Size 	NVar 	Length 	Unusualness 	Gain	Sensitivity 	SupportP 	SupporN 	SupportDif 	FConfidence 	GrowthRate 	TEFisher 	Hellinger 	TPr 	FPr 
000   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
001   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
002   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
003   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
004   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
005   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
006   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
007   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
008   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
009   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
010   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
011   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
012   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
013   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
014   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
015   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
016   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
017   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
018   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
019   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
020   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
021   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
022   	001	-	3,000000	0,000672	0,775314	1,464705	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,685100	0,910594	0,359966
023   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
024   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
025   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
026   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
027   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
028   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
029   	000	-	3,000000	0,000672	0,775314	0,357137	0,910594	0,910594	0,359966	0,550628	0,133244	2,529668	0,000000	0,827432	0,910594	0,359966
---	---	30	3,000000	0,000672	0,775314	0,726327	0,910594	---	---	0,550628	0,133244	1,000000	1,000000	0,779988	0,910594	0,359966
