Number 	Class 	Size 	NVar 	Length 	Unusualness 	Gain	Sensitivity 	SupportP 	SupporN 	SupportDif 	FConfidence 	GrowthRate 	TEFisher 	Hellinger 	TPr 	FPr 
000   	000	-	2,000000	0,000041	0,603983	0,157509	0,688066	0,688066	0,480100	0,207966	0,734121	1,433173	0,000000	0,272444	0,688066	0,480100
001   	001	-	2,000000	0,000164	0,586563	0,345681	0,458371	0,458371	0,285244	0,173127	0,344244	1,606941	0,000000	0,316876	0,458371	0,285244
002   	001	-	2,000000	0,000163	0,586390	0,346878	0,460700	0,460700	0,287920	0,172780	0,343281	1,600098	0,000000	0,312260	0,460700	0,287920
003   	001	-	2,000000	0,000186	0,586121	0,314019	0,404193	0,404193	0,231951	0,172242	0,362760	1,742577	0,000000	0,417581	0,404193	0,231951
004   	001	-	2,000000	0,000101	0,584656	0,514664	0,745717	0,745717	0,576405	0,169312	0,297081	1,293738	0,000000	0,375272	0,745717	0,576405
005   	001	-	2,000000	0,000203	0,583683	0,292329	0,370228	0,370228	0,202862	0,167366	0,373512	1,825024	0,000000	0,479590	0,370228	0,202862
006   	000	-	1,000000	0,000039	0,582536	0,157228	0,725476	0,725476	0,560405	0,165071	0,713800	1,294557	0,000000	0,338787	0,725476	0,560405
007   	001	-	2,000000	0,000294	0,570987	0,215644	0,255335	0,255335	0,113361	0,141974	0,423902	2,252401	0,000000	0,702733	0,255335	0,113361
008   	001	-	2,000000	0,000292	0,570832	0,216390	0,257063	0,257063	0,115399	0,141665	0,421202	2,227609	0,000000	0,697829	0,257063	0,115399
009   	000	-	1,000000	0,000086	0,566162	0,080231	0,325426	0,325426	0,193101	0,132325	0,764527	1,685260	0,000000	0,522943	0,325426	0,193101
010   	002	-	4,000000	0,000325	0,563251	0,664433	0,597209	0,597209	0,470707	0,126501	0,118082	1,268747	0,000000	0,144218	0,597209	0,470707
011   	002	-	6,000000	0,000626	0,562942	0,377461	0,309556	0,309556	0,183672	0,125884	0,151002	1,685373	0,000000	0,548585	0,309556	0,183672
012   	002	-	4,000000	0,000444	0,560526	0,499694	0,436131	0,436131	0,315080	0,121051	0,127457	1,384192	0,000000	0,281241	0,436131	0,315080
013   	002	-	3,000000	0,000291	0,558402	0,729429	0,666021	0,666021	0,549217	0,116804	0,113456	1,212674	0,000000	0,248176	0,666021	0,549217
014   	002	-	4,000000	0,000277	0,556210	0,762777	0,700911	0,700911	0,588492	0,112419	0,111657	1,191030	0,000000	0,316336	0,700911	0,588492
015   	002	-	5,000000	0,000486	0,553138	0,454349	0,398527	0,398527	0,292251	0,106275	0,125803	1,363644	0,000000	0,333490	0,398527	0,292251
016   	002	-	1,000000	0,000245	0,551627	0,849194	0,790076	0,790076	0,686822	0,103253	0,108255	1,150335	0,000000	0,507858	0,790076	0,686822
017   	001	-	1,000000	0,000411	0,544893	0,147981	0,182822	0,182822	0,093036	0,089787	0,390969	1,965075	0,000000	0,803737	0,182822	0,093036
018   	000	-	1,000000	0,000029	0,541075	0,185797	0,955113	0,955113	0,872963	0,082150	0,678236	1,094105	0,000000	0,959092	0,955113	0,872963
019   	000	-	1,000000	0,000127	0,540986	0,053246	0,221626	0,221626	0,139655	0,081971	0,753536	1,586957	0,000000	0,689973	0,221626	0,139655
020   	002	-	1,000000	0,000816	0,530274	0,269283	0,237449	0,237449	0,176901	0,060548	0,124076	1,342269	0,000000	0,621120	0,237449	0,176901
021   	000	-	2,000000	0,000234	0,529671	0,031433	0,119990	0,119990	0,060649	0,059341	0,792169	1,978440	0,000000	0,934201	0,119990	0,060649
022   	002	-	2,000000	0,000221	0,525524	0,913441	0,875170	0,875170	0,824121	0,051048	0,100775	1,061943	0,000000	0,759943	0,875170	0,824121
023   	001	-	2,000000	0,000141	0,520928	0,339071	0,533889	0,533889	0,492034	0,041855	0,261704	1,085065	0,000000	0,049260	0,533889	0,492034
024   	001	-	1,000000	0,000140	0,520816	0,341140	0,537421	0,537421	0,495790	0,041631	0,261509	1,083969	0,000000	0,053292	0,537421	0,495790
025   	000	-	2,000000	0,000036	0,518982	0,147779	0,782590	0,782590	0,744626	0,037965	0,669399	1,050985	0,000000	0,550354	0,782590	0,744626
026   	001	-	2,000000	0,000151	0,516414	0,314429	0,498497	0,498497	0,465670	0,032827	0,259100	1,070494	0,000000	0,048625	0,498497	0,465670
027   	002	-	2,000000	0,000197	0,514520	1,014549	0,983136	0,983136	0,954097	0,029039	0,098078	1,030436	0,000000	1,150622	0,983136	0,954097
028   	001	-	2,000000	0,000098	0,513765	0,475131	0,765630	0,765630	0,738100	0,027529	0,253099	1,037297	0,000000	0,522929	0,765630	0,738100
029   	002	-	2,000000	0,000214	0,511160	0,933939	0,906765	0,906765	0,884445	0,022319	0,097631	1,025236	0,000001	0,882665	0,906765	0,884445
030   	001	-	1,000000	0,000078	0,503956	0,590523	0,965960	0,965960	0,958048	0,007912	0,247769	1,008259	0,000045	1,111926	0,965960	0,958048
031   	001	-	2,000000	0,000084	0,501758	0,544852	0,893297	0,893297	0,889781	0,003516	0,246972	1,003952	0,262834	0,869600	0,893297	0,889781
---	---	32	2,156250	0,000226	0,548835	0,415016	0,564011	---	---	0,097670	0,339661	1,000000	0,968750	0,525736	0,564011	0,466341
